Chapter,Capítulo,
Lesson,Lección,
Quiz,Cuestionario,
Interest,Interés,
Course,Curso,
All Live Courses,Todos los Cursos Disponibles,
All Live Courses ({0}),Todos los Cursos Disponibles ({0}),
All Courses,Todos los Cursos,
Instructors,Instructores,
Completed,Completado,
Evaluation On: ,Evaluación en: ,
Under Review,Bajo Revisión,
Edit,Editar,
"You have exceeded the maximum number of attempts allowed to appear for evaluations of this course.","Ha superado el número máximo de intentos permitidos para presentarse a las evaluaciones de este curso.",
"Your course is currently under review. Once the review is complete, the System Admins will publish it on the website.","Su curso está actualmente en revisión. Una vez completada la revisión, los administradores del sistema lo publicarán en el sitio web.",
Enrolled,Inscritos,
Lessons,Lecciones,
Get Certified,Obtenga la certificación,
Other Courses,Otros Cursos,
Reviews,Reseñas,
Write a review,Escribe una reseña,
Review the course,Reseña el curso,
Help us improve our course material.,Ayúdenos a mejorar el material del curso.,
Add Chapter,Añadir Capítulo,
Add Lesson,Añadir Lección,
Start Learning,Comenzar a Aprender,
Checkout Course,Ver Curso,
Have a doubt?,¿Tiene una duda?,
"Post it here, our mentors will help you out.","Publícalo aquí, nuestros mentores te ayudarán.",
Questions,Preguntas,
Ask a Question,Haga una pregunta,
Submit for Review,Someter a revisión,
Notify me when available,Avísame cuando esté disponible,
Manage the course,Gestionar el curso,
Continue Learning,Continuar Aprendiendo,
Apply for Certificate,Aplicar para certificación,
Get Certificate,Obtener el certificado,
Pick a Slot,Elija una franja horaria,
"This course requires you to complete an evaluation to get certified. Please pick a slot based on your convenience for the evaluations. ","Este curso requiere que usted complete una evaluación para obtener la certificación. Por favor, elija un espacio basado en su conveniencia para las evaluaciones. ",
"Slots","Horarios",
There are no slots available on this day.,No hay horarios disponibles para este día,
Submit,Enviar,
Course Creators,Creadores de cursos,
Mark as Complete,Marcar como completo,
Mark as Incomplete,Marcar como incompleto,
Mark as complete on moving to the next lesson,Marcar como completo al pasar a la siguiente lección,
"This lesson is not available for preview. Please join the course to access it.","Esta lección no está disponible para la vista previa. Por favor, únase al curso para acceder a ella.",
"This lesson is not available for preview. As you are the Instructor of the course only you can see it.","Esta lección no está disponible para la vista previa. Como usted es el instructor del curso, sólo usted puede verla.",
COMPLETED,COMPLETADO,
Type title,Escriba el título,
Type here. Use markdown to format.,Escriba aquí. Utilice markdown para formatear.,
Press Cmd+Enter to post your comment,Pulse Cmd+Enter para publicar su comentario,
Cancel,Cancelar,
Post,Publicar,
other,otro,
others,otros,
Search,Buscar,
Search,Buscar,
taken,realizados,
Creator,Creador,
Courses Created,Cursos Creados,
Courses Mentored,Cursos con tutoría,
Edit Profile,Editar Perfil,
Open Network,Red abierta,
You haven't enrolled for any courses,No se encuentra inscripto a ningún curso,
Here are a few courses we recommend for you to get started with {0},Aquí hay algunos cursos que recomendamos para comenzar con {0},
Courses Enrolled,Cursos inscriptos,
Not available for preview,No disponible para previsualizar,
Courses,Cursos,
Excellent Work 👏,Excelente Trabajo 👏,
Better luck next time,Mejor suerte la próxima vez,
Search Results,Buscar Resultados,
Search {{ title }},Buscar {{ title }},
No results found,No se encontraron resultados,
Try some other keyword or explore our list of courses.,Intentar con otra palabra o explorar la lista de cursos.,
Live,Publicados,
Upcoming,Próximamente,
